Antall datapunkter: 100
X: 0.608, Y: 0.794, Z: 7.200, r: 1.000, g: 1.000, b: 1.000
X: 0.526, Y: 0.850, Z: 7.300, r: 1.000, g: 1.000, b: 1.000
X: 0.439, Y: 0.899, Z: 7.400, r: 1.000, g: 1.000, b: 1.000
X: 0.347, Y: 0.938, Z: 7.500, r: 1.000, g: 1.000, b: 1.000
X: 0.251, Y: 0.968, Z: 7.600, r: 1.000, g: 1.000, b: 1.000
X: 0.153, Y: 0.988, Z: 7.700, r: 1.000, g: 1.000, b: 1.000
X: 0.054, Y: 0.999, Z: 7.800, r: 1.000, g: 1.000, b: 1.000
X: -0.046, Y: 0.999, Z: 7.900, r: 1.000, g: 1.000, b: 1.000
X: -0.145, Y: 0.989, Z: 8.000, r: 1.000, g: 1.000, b: 1.000
X: -0.244, Y: 0.970, Z: 8.100, r: 1.000, g: 1.000, b: 1.000
X: -0.339, Y: 0.941, Z: 8.200, r: 1.000, g: 1.000, b: 1.000
X: -0.431, Y: 0.902, Z: 8.300, r: 1.000, g: 1.000, b: 1.000
X: -0.519, Y: 0.855, Z: 8.400, r: 1.000, g: 1.000, b: 1.000
X: -0.602, Y: 0.798, Z: 8.500, r: 1.000, g: 1.000, b: 1.000
X: -0.679, Y: 0.734, Z: 8.600, r: 1.000, g: 1.000, b: 1.000
X: -0.749, Y: 0.663, Z: 8.700, r: 1.000, g: 1.000, b: 1.000
X: -0.811, Y: 0.585, Z: 8.800, r: 1.000, g: 1.000, b: 1.000
X: -0.865, Y: 0.501, Z: 8.900, r: 1.000, g: 1.000, b: 1.000
X: -0.911, Y: 0.412, Z: 9.000, r: 1.000, g: 1.000, b: 1.000
X: -0.948, Y: 0.319, Z: 9.100, r: 1.000, g: 1.000, b: 1.000
X: -0.975, Y: 0.223, Z: 9.200, r: 1.000, g: 1.000, b: 1.000
X: -0.992, Y: 0.124, Z: 9.300, r: 1.000, g: 1.000, b: 1.000
X: -1.000, Y: 0.025, Z: 9.400, r: 1.000, g: 1.000, b: 1.000
X: -0.997, Y: -0.075, Z: 9.500, r: 1.000, g: 1.000, b: 1.000
X: -0.985, Y: -0.174, Z: 9.600, r: 1.000, g: 1.000, b: 1.000
X: -0.962, Y: -0.272, Z: 9.700, r: 1.000, g: 1.000, b: 1.000
X: -0.930, Y: -0.366, Z: 9.800, r: 1.000, g: 1.000, b: 1.000
X: -0.889, Y: -0.458, Z: 9.900, r: 1.000, g: 1.000, b: 1.000
